# Created by Octave 5.2.0, Tue Feb 18 07:57:49 2020 GMT <unknown@KamaLaptop>
# name: features
# type: matrix
# rows: 100
# columns: 2
 526 5
 466 10
 621 4
 800 2
 998 10
 594 7
 571 8
 270 4
 831 3
 631 9
 543 3
 194 6
 202 6
 237 8
 318 9
 152 2
 814 1
 200 1
 759 7
 878 4
 672 2
 874 9
 584 7
 469 9
 575 9
 807 2
 316 6
 551 2
 432 8
 822 1
 18 10
 572 8
 863 4
 439 1
 92 4
 992 9
 800 1
 817 5
 33 8
 957 7
 588 3
 571 10
 314 1
 211 2
 748 7
 705 6
 882 7
 332 7
 889 9
 47 2
 198 5
 967 4
 933 4
 523 1
 979 5
 159 2
 21 7
 785 8
 505 3
 405 9
 191 2
 431 9
 161 6
 9 2
 173 9
 785 8
 922 6
 758 6
 420 10
 897 10
 138 3
 148 9
 476 8
 154 10
 568 10
 156 3
 927 3
 807 10
 647 4
 859 2
 646 4
 740 6
 474 4
 323 9
 564 8
 704 3
 143 4
 263 7
 222 5
 348 9
 536 5
 314 10
 601 4
 928 2
 364 10
 295 10
 943 6
 459 5
 755 6
 639 6


